,Images,Masks
0,images/M01_0_0.png,labels/M01_0_0_P.png
1,images/M01_0_1.png,labels/M01_0_1_P.png
2,images/M01_0_2.png,labels/M01_0_2_P.png
3,images/M01_0_3.png,labels/M01_0_3_P.png
4,images/M01_0_4.png,labels/M01_0_4_P.png
5,images/M01_0_5.png,labels/M01_0_5_P.png
6,images/M01_0_6.png,labels/M01_0_6_P.png
7,images/M01_0_7.png,labels/M01_0_7_P.png
8,images/M01_0_8.png,labels/M01_0_8_P.png
9,images/M01_0_9.png,labels/M01_0_9_P.png
10,images/M01_0_10.png,labels/M01_0_10_P.png
11,images/M01_0_11.png,labels/M01_0_11_P.png
12,images/M01_0_12.png,labels/M01_0_12_P.png
13,images/M01_0_13.png,labels/M01_0_13_P.png
14,images/M01_0_14.png,labels/M01_0_14_P.png
15,images/M01_0_15.png,labels/M01_0_15_P.png
16,images/M01_0_16.png,labels/M01_0_16_P.png
17,images/M01_0_17.png,labels/M01_0_17_P.png
18,images/M01_0_18.png,labels/M01_0_18_P.png
19,images/M01_0_19.png,labels/M01_0_19_P.png
20,images/M01_0_20.png,labels/M01_0_20_P.png
21,images/M01_0_21.png,labels/M01_0_21_P.png
22,images/M01_0_22.png,labels/M01_0_22_P.png
23,images/M01_0_23.png,labels/M01_0_23_P.png
24,images/M01_0_24.png,labels/M01_0_24_P.png
25,images/M01_0_25.png,labels/M01_0_25_P.png
26,images/M01_0_26.png,labels/M01_0_26_P.png
27,images/M01_0_27.png,labels/M01_0_27_P.png
28,images/M01_0_28.png,labels/M01_0_28_P.png
29,images/M01_0_29.png,labels/M01_0_29_P.png
30,images/M01_0_30.png,labels/M01_0_30_P.png
31,images/M01_0_31.png,labels/M01_0_31_P.png
32,images/M01_0_32.png,labels/M01_0_32_P.png
33,images/M01_0_33.png,labels/M01_0_33_P.png
34,images/M01_0_34.png,labels/M01_0_34_P.png
35,images/M01_0_35.png,labels/M01_0_35_P.png
36,images/M01_0_36.png,labels/M01_0_36_P.png
37,images/M01_0_37.png,labels/M01_0_37_P.png
38,images/M01_0_38.png,labels/M01_0_38_P.png
39,images/M01_0_39.png,labels/M01_0_39_P.png
40,images/M01_0_40.png,labels/M01_0_40_P.png
41,images/M01_0_41.png,labels/M01_0_41_P.png
42,images/M01_0_42.png,labels/M01_0_42_P.png
43,images/M01_0_43.png,labels/M01_0_43_P.png
44,images/M01_0_44.png,labels/M01_0_44_P.png
45,images/M01_0_45.png,labels/M01_0_45_P.png
46,images/M01_0_46.png,labels/M01_0_46_P.png
47,images/M01_0_47.png,labels/M01_0_47_P.png
48,images/M01_0_48.png,labels/M01_0_48_P.png
49,images/M01_0_49.png,labels/M01_0_49_P.png
50,images/M01_0_50.png,labels/M01_0_50_P.png
51,images/M01_0_51.png,labels/M01_0_51_P.png
52,images/M01_0_52.png,labels/M01_0_52_P.png
53,images/M01_0_53.png,labels/M01_0_53_P.png
54,images/M01_0_54.png,labels/M01_0_54_P.png
55,images/M01_0_55.png,labels/M01_0_55_P.png
56,images/M01_0_56.png,labels/M01_0_56_P.png
57,images/M01_0_57.png,labels/M01_0_57_P.png
58,images/M01_0_58.png,labels/M01_0_58_P.png
59,images/M01_0_59.png,labels/M01_0_59_P.png
60,images/M01_0_60.png,labels/M01_0_60_P.png
61,images/M01_0_61.png,labels/M01_0_61_P.png
62,images/M01_0_62.png,labels/M01_0_62_P.png
63,images/M01_0_63.png,labels/M01_0_63_P.png
64,images/M01_0_64.png,labels/M01_0_64_P.png
65,images/M01_0_65.png,labels/M01_0_65_P.png
66,images/M01_0_66.png,labels/M01_0_66_P.png
67,images/M01_0_67.png,labels/M01_0_67_P.png
68,images/M01_0_68.png,labels/M01_0_68_P.png
69,images/M01_0_69.png,labels/M01_0_69_P.png
70,images/M01_0_70.png,labels/M01_0_70_P.png
71,images/M01_0_71.png,labels/M01_0_71_P.png
72,images/M01_0_72.png,labels/M01_0_72_P.png
73,images/M01_0_73.png,labels/M01_0_73_P.png
74,images/M01_0_74.png,labels/M01_0_74_P.png
75,images/M01_0_75.png,labels/M01_0_75_P.png
76,images/M01_0_76.png,labels/M01_0_76_P.png
77,images/M01_0_77.png,labels/M01_0_77_P.png
78,images/M01_0_78.png,labels/M01_0_78_P.png
79,images/M01_0_79.png,labels/M01_0_79_P.png
80,images/M01_0_80.png,labels/M01_0_80_P.png
81,images/M01_0_81.png,labels/M01_0_81_P.png
82,images/M01_0_82.png,labels/M01_0_82_P.png
83,images/M01_0_83.png,labels/M01_0_83_P.png
84,images/M01_0_84.png,labels/M01_0_84_P.png
85,images/M01_0_85.png,labels/M01_0_85_P.png
86,images/M01_0_86.png,labels/M01_0_86_P.png
87,images/M01_0_87.png,labels/M01_0_87_P.png
88,images/M01_0_88.png,labels/M01_0_88_P.png
89,images/M01_0_89.png,labels/M01_0_89_P.png
90,images/M01_0_90.png,labels/M01_0_90_P.png
91,images/M01_0_91.png,labels/M01_0_91_P.png
92,images/M01_0_92.png,labels/M01_0_92_P.png
93,images/M01_0_93.png,labels/M01_0_93_P.png
94,images/M01_0_94.png,labels/M01_0_94_P.png
95,images/M01_0_95.png,labels/M01_0_95_P.png
96,images/M01_0_96.png,labels/M01_0_96_P.png
97,images/M01_0_97.png,labels/M01_0_97_P.png
98,images/M01_0_98.png,labels/M01_0_98_P.png
99,images/M01_0_99.png,labels/M01_0_99_P.png
100,images/M01_0_100.png,labels/M01_0_100_P.png
101,images/M01_0_101.png,labels/M01_0_101_P.png
102,images/M01_0_102.png,labels/M01_0_102_P.png
103,images/M01_0_103.png,labels/M01_0_103_P.png
104,images/M01_0_104.png,labels/M01_0_104_P.png
105,images/M01_0_105.png,labels/M01_0_105_P.png
106,images/M01_0_106.png,labels/M01_0_106_P.png
107,images/M01_0_107.png,labels/M01_0_107_P.png
108,images/M01_0_108.png,labels/M01_0_108_P.png
109,images/M01_0_109.png,labels/M01_0_109_P.png
110,images/M01_0_110.png,labels/M01_0_110_P.png
111,images/M01_0_111.png,labels/M01_0_111_P.png
112,images/M01_0_112.png,labels/M01_0_112_P.png
113,images/M01_0_113.png,labels/M01_0_113_P.png
114,images/M01_0_114.png,labels/M01_0_114_P.png
115,images/M01_0_115.png,labels/M01_0_115_P.png
116,images/M01_0_116.png,labels/M01_0_116_P.png
117,images/M01_0_117.png,labels/M01_0_117_P.png
118,images/M01_0_118.png,labels/M01_0_118_P.png
119,images/M01_0_119.png,labels/M01_0_119_P.png
120,images/M01_0_120.png,labels/M01_0_120_P.png
121,images/M01_0_121.png,labels/M01_0_121_P.png
122,images/M01_0_122.png,labels/M01_0_122_P.png
123,images/M01_0_123.png,labels/M01_0_123_P.png
124,images/M01_0_124.png,labels/M01_0_124_P.png
125,images/M01_0_125.png,labels/M01_0_125_P.png
126,images/M01_0_126.png,labels/M01_0_126_P.png
127,images/M01_0_127.png,labels/M01_0_127_P.png
128,images/M01_0_128.png,labels/M01_0_128_P.png
129,images/M01_0_129.png,labels/M01_0_129_P.png
130,images/M01_0_130.png,labels/M01_0_130_P.png
131,images/M01_0_131.png,labels/M01_0_131_P.png
132,images/M01_0_132.png,labels/M01_0_132_P.png
133,images/M01_0_133.png,labels/M01_0_133_P.png
134,images/M01_0_134.png,labels/M01_0_134_P.png
135,images/M01_0_135.png,labels/M01_0_135_P.png
136,images/M01_0_136.png,labels/M01_0_136_P.png
137,images/M01_0_137.png,labels/M01_0_137_P.png
138,images/M01_0_138.png,labels/M01_0_138_P.png
139,images/M01_0_139.png,labels/M01_0_139_P.png
140,images/M01_0_140.png,labels/M01_0_140_P.png
141,images/M01_0_141.png,labels/M01_0_141_P.png
142,images/M01_0_142.png,labels/M01_0_142_P.png
143,images/M01_0_143.png,labels/M01_0_143_P.png
144,images/M01_0_144.png,labels/M01_0_144_P.png
145,images/M01_0_145.png,labels/M01_0_145_P.png
146,images/M01_0_146.png,labels/M01_0_146_P.png
147,images/M01_0_147.png,labels/M01_0_147_P.png
148,images/M01_0_148.png,labels/M01_0_148_P.png
149,images/M01_0_149.png,labels/M01_0_149_P.png
150,images/M01_0_150.png,labels/M01_0_150_P.png
151,images/M01_0_151.png,labels/M01_0_151_P.png
152,images/M01_0_152.png,labels/M01_0_152_P.png
153,images/M01_0_153.png,labels/M01_0_153_P.png
154,images/M01_0_154.png,labels/M01_0_154_P.png
155,images/M01_0_155.png,labels/M01_0_155_P.png
156,images/M01_0_156.png,labels/M01_0_156_P.png
157,images/M01_0_157.png,labels/M01_0_157_P.png
158,images/M01_0_158.png,labels/M01_0_158_P.png
159,images/M01_0_159.png,labels/M01_0_159_P.png
160,images/M01_0_160.png,labels/M01_0_160_P.png
161,images/M01_0_161.png,labels/M01_0_161_P.png
162,images/M01_0_162.png,labels/M01_0_162_P.png
163,images/M01_0_163.png,labels/M01_0_163_P.png
164,images/M01_0_164.png,labels/M01_0_164_P.png
165,images/M01_0_165.png,labels/M01_0_165_P.png
166,images/M01_0_166.png,labels/M01_0_166_P.png
167,images/M01_0_167.png,labels/M01_0_167_P.png
168,images/M01_0_168.png,labels/M01_0_168_P.png
169,images/M01_0_169.png,labels/M01_0_169_P.png
170,images/M01_0_170.png,labels/M01_0_170_P.png
171,images/M01_0_171.png,labels/M01_0_171_P.png
172,images/M01_0_172.png,labels/M01_0_172_P.png
173,images/M01_0_173.png,labels/M01_0_173_P.png
174,images/M01_0_174.png,labels/M01_0_174_P.png
175,images/M01_0_175.png,labels/M01_0_175_P.png
176,images/M01_0_176.png,labels/M01_0_176_P.png
177,images/M01_0_177.png,labels/M01_0_177_P.png
178,images/M01_0_178.png,labels/M01_0_178_P.png
179,images/M01_0_179.png,labels/M01_0_179_P.png
180,images/M01_0_180.png,labels/M01_0_180_P.png
181,images/M01_0_181.png,labels/M01_0_181_P.png
182,images/M01_0_182.png,labels/M01_0_182_P.png
183,images/M01_0_183.png,labels/M01_0_183_P.png
184,images/M01_0_184.png,labels/M01_0_184_P.png
185,images/M01_0_185.png,labels/M01_0_185_P.png
186,images/M01_0_186.png,labels/M01_0_186_P.png
187,images/M01_0_187.png,labels/M01_0_187_P.png
188,images/M01_0_188.png,labels/M01_0_188_P.png
189,images/M01_0_189.png,labels/M01_0_189_P.png
190,images/M01_0_190.png,labels/M01_0_190_P.png
191,images/M01_0_191.png,labels/M01_0_191_P.png
192,images/M01_0_192.png,labels/M01_0_192_P.png
193,images/M01_0_193.png,labels/M01_0_193_P.png
194,images/M01_0_194.png,labels/M01_0_194_P.png
195,images/M01_0_195.png,labels/M01_0_195_P.png
196,images/M01_0_196.png,labels/M01_0_196_P.png
197,images/M01_0_197.png,labels/M01_0_197_P.png
198,images/M01_0_198.png,labels/M01_0_198_P.png
199,images/M01_0_199.png,labels/M01_0_199_P.png
200,images/M01_002h_0.png,labels/M01_002h_0_P.png
201,images/M01_002h_1.png,labels/M01_002h_1_P.png
202,images/M01_002h_2.png,labels/M01_002h_2_P.png
203,images/M01_002h_3.png,labels/M01_002h_3_P.png
204,images/M01_002h_4.png,labels/M01_002h_4_P.png
205,images/M01_002h_5.png,labels/M01_002h_5_P.png
206,images/M01_002h_6.png,labels/M01_002h_6_P.png
207,images/M01_002h_7.png,labels/M01_002h_7_P.png
208,images/M01_002h_8.png,labels/M01_002h_8_P.png
209,images/M01_002h_9.png,labels/M01_002h_9_P.png
210,images/M01_002h_10.png,labels/M01_002h_10_P.png
211,images/M01_002h_11.png,labels/M01_002h_11_P.png
212,images/M01_002h_12.png,labels/M01_002h_12_P.png
213,images/M01_002h_13.png,labels/M01_002h_13_P.png
214,images/M01_002h_14.png,labels/M01_002h_14_P.png
215,images/M01_002h_15.png,labels/M01_002h_15_P.png
216,images/M01_002h_16.png,labels/M01_002h_16_P.png
217,images/M01_002h_17.png,labels/M01_002h_17_P.png
218,images/M01_002h_18.png,labels/M01_002h_18_P.png
219,images/M01_002h_19.png,labels/M01_002h_19_P.png
220,images/M01_002h_20.png,labels/M01_002h_20_P.png
221,images/M01_002h_21.png,labels/M01_002h_21_P.png
222,images/M01_002h_22.png,labels/M01_002h_22_P.png
223,images/M01_002h_23.png,labels/M01_002h_23_P.png
224,images/M01_002h_24.png,labels/M01_002h_24_P.png
225,images/M01_002h_25.png,labels/M01_002h_25_P.png
226,images/M01_002h_26.png,labels/M01_002h_26_P.png
227,images/M01_002h_27.png,labels/M01_002h_27_P.png
228,images/M01_002h_28.png,labels/M01_002h_28_P.png
229,images/M01_002h_29.png,labels/M01_002h_29_P.png
230,images/M01_002h_30.png,labels/M01_002h_30_P.png
231,images/M01_002h_31.png,labels/M01_002h_31_P.png
232,images/M01_002h_32.png,labels/M01_002h_32_P.png
233,images/M01_002h_33.png,labels/M01_002h_33_P.png
234,images/M01_002h_34.png,labels/M01_002h_34_P.png
235,images/M01_002h_35.png,labels/M01_002h_35_P.png
236,images/M01_002h_36.png,labels/M01_002h_36_P.png
237,images/M01_002h_37.png,labels/M01_002h_37_P.png
238,images/M01_002h_38.png,labels/M01_002h_38_P.png
239,images/M01_002h_39.png,labels/M01_002h_39_P.png
240,images/M01_002h_40.png,labels/M01_002h_40_P.png
241,images/M01_002h_41.png,labels/M01_002h_41_P.png
242,images/M01_002h_42.png,labels/M01_002h_42_P.png
243,images/M01_002h_43.png,labels/M01_002h_43_P.png
244,images/M01_002h_44.png,labels/M01_002h_44_P.png
245,images/M01_002h_45.png,labels/M01_002h_45_P.png
246,images/M01_002h_46.png,labels/M01_002h_46_P.png
247,images/M01_002h_47.png,labels/M01_002h_47_P.png
248,images/M01_002h_48.png,labels/M01_002h_48_P.png
249,images/M01_002h_49.png,labels/M01_002h_49_P.png
250,images/M01_002h_50.png,labels/M01_002h_50_P.png
251,images/M01_002h_51.png,labels/M01_002h_51_P.png
252,images/M01_002h_52.png,labels/M01_002h_52_P.png
253,images/M01_002h_53.png,labels/M01_002h_53_P.png
254,images/M01_002h_54.png,labels/M01_002h_54_P.png
255,images/M01_002h_55.png,labels/M01_002h_55_P.png
256,images/M01_002h_56.png,labels/M01_002h_56_P.png
257,images/M01_002h_57.png,labels/M01_002h_57_P.png
258,images/M01_002h_58.png,labels/M01_002h_58_P.png
259,images/M01_002h_59.png,labels/M01_002h_59_P.png
260,images/M01_002h_60.png,labels/M01_002h_60_P.png
261,images/M01_002h_61.png,labels/M01_002h_61_P.png
262,images/M01_002h_62.png,labels/M01_002h_62_P.png
263,images/M01_002h_63.png,labels/M01_002h_63_P.png
264,images/M01_002h_64.png,labels/M01_002h_64_P.png
265,images/M01_002h_65.png,labels/M01_002h_65_P.png
266,images/M01_002h_66.png,labels/M01_002h_66_P.png
267,images/M01_002h_67.png,labels/M01_002h_67_P.png
268,images/M01_002h_68.png,labels/M01_002h_68_P.png
269,images/M01_002h_69.png,labels/M01_002h_69_P.png
270,images/M01_002h_70.png,labels/M01_002h_70_P.png
271,images/M01_002h_71.png,labels/M01_002h_71_P.png
272,images/M01_002h_72.png,labels/M01_002h_72_P.png
273,images/M01_002h_73.png,labels/M01_002h_73_P.png
274,images/M01_002h_74.png,labels/M01_002h_74_P.png
275,images/M01_002h_75.png,labels/M01_002h_75_P.png
276,images/M01_002h_76.png,labels/M01_002h_76_P.png
277,images/M01_002h_77.png,labels/M01_002h_77_P.png
278,images/M01_002h_78.png,labels/M01_002h_78_P.png
279,images/M01_002h_79.png,labels/M01_002h_79_P.png
280,images/M01_002h_80.png,labels/M01_002h_80_P.png
281,images/M01_002h_81.png,labels/M01_002h_81_P.png
282,images/M01_002h_82.png,labels/M01_002h_82_P.png
283,images/M01_002h_83.png,labels/M01_002h_83_P.png
284,images/M01_002h_84.png,labels/M01_002h_84_P.png
285,images/M01_002h_85.png,labels/M01_002h_85_P.png
286,images/M01_002h_86.png,labels/M01_002h_86_P.png
287,images/M01_002h_87.png,labels/M01_002h_87_P.png
288,images/M01_002h_88.png,labels/M01_002h_88_P.png
289,images/M01_002h_89.png,labels/M01_002h_89_P.png
290,images/M01_002h_90.png,labels/M01_002h_90_P.png
291,images/M01_002h_91.png,labels/M01_002h_91_P.png
292,images/M01_002h_92.png,labels/M01_002h_92_P.png
293,images/M01_002h_93.png,labels/M01_002h_93_P.png
294,images/M01_002h_94.png,labels/M01_002h_94_P.png
295,images/M01_002h_95.png,labels/M01_002h_95_P.png
296,images/M01_002h_96.png,labels/M01_002h_96_P.png
297,images/M01_002h_97.png,labels/M01_002h_97_P.png
298,images/M01_002h_98.png,labels/M01_002h_98_P.png
299,images/M01_002h_99.png,labels/M01_002h_99_P.png
300,images/M01_002h_100.png,labels/M01_002h_100_P.png
301,images/M01_002h_101.png,labels/M01_002h_101_P.png
302,images/M01_002h_102.png,labels/M01_002h_102_P.png
303,images/M01_002h_103.png,labels/M01_002h_103_P.png
304,images/M01_002h_104.png,labels/M01_002h_104_P.png
305,images/M01_002h_105.png,labels/M01_002h_105_P.png
306,images/M01_002h_106.png,labels/M01_002h_106_P.png
307,images/M01_002h_107.png,labels/M01_002h_107_P.png
308,images/M01_002h_108.png,labels/M01_002h_108_P.png
309,images/M01_002h_109.png,labels/M01_002h_109_P.png
310,images/M01_002h_110.png,labels/M01_002h_110_P.png
311,images/M01_002h_111.png,labels/M01_002h_111_P.png
312,images/M01_002h_112.png,labels/M01_002h_112_P.png
313,images/M01_002h_113.png,labels/M01_002h_113_P.png
314,images/M01_002h_114.png,labels/M01_002h_114_P.png
315,images/M01_002h_115.png,labels/M01_002h_115_P.png
316,images/M01_002h_116.png,labels/M01_002h_116_P.png
317,images/M01_002h_117.png,labels/M01_002h_117_P.png
318,images/M01_002h_118.png,labels/M01_002h_118_P.png
319,images/M01_002h_119.png,labels/M01_002h_119_P.png
320,images/M01_002h_120.png,labels/M01_002h_120_P.png
321,images/M01_002h_121.png,labels/M01_002h_121_P.png
322,images/M01_002h_122.png,labels/M01_002h_122_P.png
323,images/M01_002h_123.png,labels/M01_002h_123_P.png
324,images/M01_002h_124.png,labels/M01_002h_124_P.png
325,images/M01_002h_125.png,labels/M01_002h_125_P.png
326,images/M01_002h_126.png,labels/M01_002h_126_P.png
327,images/M01_002h_127.png,labels/M01_002h_127_P.png
328,images/M01_002h_128.png,labels/M01_002h_128_P.png
329,images/M01_002h_129.png,labels/M01_002h_129_P.png
330,images/M01_002h_130.png,labels/M01_002h_130_P.png
331,images/M01_002h_131.png,labels/M01_002h_131_P.png
332,images/M01_002h_132.png,labels/M01_002h_132_P.png
